arm,origin,seed,val_RMSE,test_RMSE,test_MAE,bias,pers_RMSE,pers_MAE,elapsed,cap_c,damp_alpha
waning_104w,0.85,2,22.649578094482422,30.671884536743164,15.12033748626709,-1.9424874782562256,30.963665008544922,15.473650932312012,146.0,,
waning_104w,0.9,1,29.54718589782715,37.72471237182617,18.739416122436523,3.884366750717163,32.859073638916016,17.084285736083984,143.3,,
waning_104w,0.9,2,29.658245086669922,37.38691329956055,18.624906539916992,3.4047915935516357,32.859073638916016,17.084285736083984,149.4,,
capped,0.55,0,20.2456111907959,48.574378967285156,23.234580993652344,-14.32301139831543,45.49281311035156,22.0325927734375,85.5,0.44626131653785706,
capped,0.55,1,20.24587059020996,48.57663345336914,23.235668182373047,-14.325515747070312,45.49281311035156,22.0325927734375,87.5,0.44698625802993774,
capped,0.55,2,20.246137619018555,48.58391571044922,23.23878288269043,-14.335771560668945,45.49281311035156,22.0325927734375,89.9,0.4459035098552704,
capped,0.6,0,42.23283004760742,63.94584274291992,32.117183685302734,21.715051651000977,48.71405792236328,23.578571319580078,78.7,0.45932573080062866,
capped,0.5,1,22.44606590270996,19.457782745361328,10.932252883911133,-2.3402316570281982,20.270668029785156,11.64380931854248,227.5,0.2589903175830841,
capped,0.6,1,42.33824157714844,65.4024658203125,33.13032913208008,23.340505599975586,48.71405792236328,23.578571319580078,82.5,0.4594537615776062,
capped,0.6,2,42.377784729003906,63.96529006958008,32.203495025634766,21.95395278930664,48.71405792236328,23.578571319580078,75.5,0.45916563272476196,
capped,0.5,2,22.321903228759766,19.518465042114258,10.960508346557617,-2.7253003120422363,20.270668029785156,11.64380931854248,277.3,0.19909155368804932,
capped,0.5,0,22.34958267211914,20.22773551940918,11.350923538208008,-2.490349769592285,20.270668029785156,11.64380931854248,337.6,0.13636639714241028,
capped,0.65,1,46.472496032714844,11.407118797302246,5.181396961212158,0.12493812292814255,11.340509414672852,5.244285583496094,272.8,0.22319594025611877,
capped,0.65,0,46.519100189208984,11.239227294921875,5.033030986785889,-0.5966478586196899,11.340509414672852,5.244285583496094,343.7,0.16173332929611206,
capped,0.7,0,11.65054702758789,15.221213340759277,6.294332981109619,-1.2011326551437378,15.7118501663208,6.584691524505615,304.0,0.19737181067466736,
capped,0.65,2,46.392669677734375,11.235345840454102,5.0280280113220215,-0.6182140111923218,11.340509414672852,5.244285583496094,341.4,0.15934717655181885,
capped,0.7,1,11.583850860595703,15.18280029296875,6.3071818351745605,-1.0721330642700195,15.7118501663208,6.584691524505615,319.7,0.18518385291099548,
capped,0.7,2,11.62619686126709,15.227310180664062,6.306909084320068,-1.2028536796569824,15.7118501663208,6.584691524505615,327.5,0.18397454917430878,
capped,0.8,0,26.387113571166992,20.507083892822266,12.303513526916504,-2.535809278488159,21.96774673461914,12.876190185546875,104.0,0.4381412863731384,
capped,0.8,1,26.384977340698242,20.50800895690918,12.304447174072266,-2.534548044204712,21.96774673461914,12.876190185546875,109.7,0.4393633008003235,
capped,0.8,2,26.387317657470703,20.50692367553711,12.303319931030273,-2.536078453063965,21.96774673461914,12.876190185546875,124.4,0.43796056509017944,
capped,0.85,0,20.594463348388672,30.46318244934082,14.691122055053711,-5.798853397369385,30.963665008544922,15.473650932312012,126.1,0.4343397319316864,
capped,0.85,1,20.595745086669922,30.464950561523438,14.691949844360352,-5.797802448272705,30.963665008544922,15.473650932312012,118.2,0.43567001819610596,
capped,0.75,0,15.515288352966309,28.13538932800293,10.908719062805176,-2.58526349067688,29.548784255981445,10.929333686828613,357.0,0.16186700761318207,
capped,0.75,1,15.531821250915527,28.07602882385254,10.898520469665527,-2.5011394023895264,29.548784255981445,10.929333686828613,342.5,0.17647254467010498,
capped,0.85,2,20.594411849975586,30.463043212890625,14.691081047058105,-5.798296928405762,30.963665008544922,15.473650932312012,89.4,0.4341790974140167,
capped,0.75,2,15.530965805053711,28.21613121032715,10.907140731811523,-2.4814417362213135,29.548784255981445,10.929333686828613,349.5,0.15757057070732117,
capped,0.9,0,29.131576538085938,31.73782730102539,16.22538185119629,-4.445674419403076,32.859073638916016,17.084285736083984,186.3,0.25710418820381165,
capped,0.9,1,29.134469985961914,31.746179580688477,16.25309944152832,-4.332577705383301,32.859073638916016,17.084285736083984,166.2,0.2763213515281677,
damped,0.5,1,21.463773727416992,19.34358787536621,10.980719566345215,-2.476773977279663,20.270668029785156,11.64380931854248,140.8,,0.3337220847606659
capped,0.9,2,29.131072998046875,31.737693786621094,16.225370407104492,-4.445916175842285,32.859073638916016,17.084285736083984,172.4,0.2570505142211914,
damped,0.55,0,19.576526641845703,46.63195037841797,22.38787841796875,-12.866990089416504,45.49281311035156,22.0325927734375,53.2,,0.47558674216270447
