arm,origin,seed,val_RMSE,test_RMSE,test_MAE,bias,pers_RMSE,pers_MAE,elapsed,damp_alpha
waning_52w,0.9,2,29.632444381713867,32.07765197753906,16.816808700561523,-0.11189061403274536,32.859073638916016,17.084285736083984,85.8,
waning_damped,0.5,1,22.941831588745117,19.437255859375,10.93625259399414,-1.7481721639633179,20.270668029785156,11.64380931854248,70.1,0.45801985263824463
waning_damped,0.5,0,23.09003257751465,19.94140625,11.207275390625,-2.02602219581604,20.270668029785156,11.64380931854248,93.3,0.4415009319782257
waning_damped,0.5,2,23.08991813659668,19.940372467041016,11.211211204528809,-2.0034663677215576,20.270668029785156,11.64380931854248,78.9,0.44083529710769653
waning_damped,0.6,0,41.86731719970703,55.25921630859375,28.520357131958008,18.449378967285156,48.71405792236328,23.578571319580078,35.1,0.4970088005065918
waning_damped,0.6,1,41.74903106689453,53.8120002746582,27.68497085571289,17.191734313964844,48.71405792236328,23.578571319580078,37.9,0.4947965145111084
waning_damped,0.6,2,41.80121612548828,53.543643951416016,27.57757568359375,17.07111167907715,48.71405792236328,23.578571319580078,41.0,0.49479809403419495
waning_damped,0.55,0,19.580446243286133,47.17171859741211,22.50309944152832,-12.254368782043457,45.49281311035156,22.0325927734375,122.0,0.4658672511577606
waning_damped,0.65,1,45.70205307006836,11.413609504699707,5.205988883972168,0.32829853892326355,11.340509414672852,5.244285583496094,67.6,0.46613404154777527
waning_damped,0.55,1,18.585424423217773,47.398250579833984,22.539522171020508,-12.33424186706543,45.49281311035156,22.0325927734375,140.9,0.4916640520095825
waning_damped,0.55,2,19.373994827270508,46.75575256347656,22.308807373046875,-11.247335433959961,45.49281311035156,22.0325927734375,170.3,0.5321888327598572
waning_damped,0.7,1,11.616836547851562,15.18889331817627,6.2950334548950195,-0.13674324750900269,15.7118501663208,6.584691524505615,86.0,0.47877269983291626
waning_damped,0.7,0,11.72182846069336,15.12996768951416,6.316676139831543,-0.629817008972168,15.7118501663208,6.584691524505615,161.0,0.45025959610939026
waning_damped,0.75,1,15.413089752197266,27.688112258911133,10.820075988769531,-1.5938819646835327,29.548784255981445,10.929333686828613,88.0,0.4811688959598541
waning_damped,0.7,2,11.721835136413574,15.129915237426758,6.316797733306885,-0.6296635270118713,15.7118501663208,6.584691524505615,176.1,0.45018476247787476
waning_damped,0.65,2,44.36069869995117,11.49307632446289,5.215847015380859,0.23914828896522522,11.340509414672852,5.244285583496094,229.2,0.5350612998008728
waning_damped,0.65,0,44.993743896484375,11.38674259185791,5.169026851654053,0.10420118272304535,11.340509414672852,5.244285583496094,297.3,0.6331835389137268
waning_damped,0.8,0,27.002988815307617,20.809436798095703,12.360633850097656,-0.503997802734375,21.96774673461914,12.876190185546875,102.5,0.47310566902160645
waning_damped,0.8,1,26.91868019104004,20.85704803466797,12.380473136901855,-0.28162235021591187,21.96774673461914,12.876190185546875,96.7,0.47878652811050415
waning_damped,0.8,2,27.003267288208008,20.809648513793945,12.360738754272461,-0.5042796730995178,21.96774673461914,12.876190185546875,104.6,0.473042756319046
